lat, long, problem, incidencia, anio, mes, dia, ciclo, prec, tmax, tmin,tpro,velv, dirv,humr, dpoint, tmidnight
27.1170578,-109.83585359999998,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.0,25.879,11.242,17.9328,12.07451,300.77699,70.9596,12.554017167021286,14.637
27.11224365,-109.8441544,Roya Lineal,0.18,2014,2,25,Ciclo 2013-2014,0.038,26.14,16.248,20.441,6.91328,302.3625,69.7246,14.693594242375255,9.892
27.11675072,-109.6918182,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.0,26.143,11.244000000000002,18.0035,11.21241,300.9742700000001,67.1083,11.768300384784851,14.899
27.15481758,-109.9135513,Roya Lineal,0.03,2014,2,26,Ciclo 2013-2014,0.135,27.711,15.642,21.1673,10.58004,299.71264,64.7017,14.225758394971791,12.068999999999999
27.14523888,-109.8996277,Roya Lineal,0.05,2014,2,26,Ciclo 2013-2014,0.135,26.564,16.049,21.1558,12.93296,293.74657,68.7467,15.159072608866794,10.515
27.01887321,-109.7892914,Roya Lineal,0.05,2014,3,4,Ciclo 2013-2014,0.0,24.718000000000004,12.657,18.5991,8.9234,291.7871,76.6858,14.397409442869957,12.061000000000003
27.02685928,-109.7631149,Roya Lineal,0.23,2014,2,25,Ciclo 2013-2014,0.034,25.635,17.139,20.54,8.550460000000001,301.17751,73.7083,15.657999227846872,8.496000000000002
27.08796883,-109.9227142,Roya Lineal,0.01,2014,4,9,Ciclo 2013-2014,0.0,32.309,14.902,22.6131,3.16501,157.54306,42.0496,9.029476743146034,17.406999999999996
27.10916519,-109.933136,Roya Lineal,0.02,2014,2,26,Ciclo 2013-2014,0.135,26.564,16.049,21.1558,12.93296,293.74657,68.7467,15.159072608866794,10.515
27.05263329,-109.8869171,Roya Lineal,0.01,2014,3,11,Ciclo 2013-2014,0.0,25.818,13.227,19.3133,2.85673,268.70625,66.4858,12.877462537277864,12.591000000000001
27.00354576,-109.7232742,Roya Lineal,0.03,2014,3,18,Ciclo 2013-2014,0.0,28.212,11.914,18.9159,8.61538,153.58663,54.1554,9.39402818730899,16.298000000000002
26.98488426,-109.750679,Roya Lineal,0.01,2014,2,25,Ciclo 2013-2014,0.031,26.317,16.459,20.4662,7.181710000000002,304.19789,70.75,14.945516923076894,9.858
27.19041252,-109.8493118,Roya Lineal,0.09,2014,2,27,Ciclo 2013-2014,0.0,27.727,12.901,19.0616,6.98013,312.1867200000001,59.7521,11.009703255090784,14.826
27.16207886,-109.8536987,Roya Lineal,0.03,2014,2,27,Ciclo 2013-2014,0.0,27.727,12.901,19.0616,6.98013,312.1867200000001,59.7521,11.009703255090784,14.826
27.17182159,-109.7989578,Roya Lineal,0.04,2014,2,26,Ciclo 2013-2014,0.145,27.702,15.556,21.2323,10.31534,298.75276,61.9029,13.603227267027393,12.146000000000003
27.18240547,-109.7073364,Roya Lineal,0.03,2014,2,19,Ciclo 2013-2014,0.0,27.999,13.025,19.5827,2.544,77.84861,48.6458,8.417124424965266,14.973999999999998
27.2374649,-109.733757,Roya Lineal,0.01,2014,2,26,Ciclo 2013-2014,0.15,27.745,15.849,21.5371,10.39982,295.09028,57.2475,12.68867447771683,11.896
27.21319771,-109.8296432,Roya Lineal,0.04,2014,2,11,Ciclo 2013-2014,0.0,26.46,13.196,18.8573,1.22648,11.92836,49.485,8.000221191228974,13.264000000000001
27.2269783,-109.9340668,Roya Lineal,0.02,2014,2,25,Ciclo 2013-2014,0.037000000000000005,26.095,16.069000000000006,20.5233,6.6912600000000015,306.06326,67.055,14.165476822849229,10.025999999999993
27.20864105,-109.9743881,Roya Lineal,0.01,2014,2,17,Ciclo 2013-2014,0.0,29.689,14.755,20.3713,2.80672,333.3254,46.6367,8.518281705684814,14.934
27.22007179,-109.9986343,Roya Lineal,0.04,2014,2,25,Ciclo 2013-2014,0.037000000000000005,26.095,16.069000000000006,20.5233,6.6912600000000015,306.06326,67.055,14.165476822849229,10.025999999999993
27.22689819,-109.972496,Roya Lineal,0.06,2014,2,25,Ciclo 2013-2014,0.037000000000000005,26.095,16.069000000000006,20.5233,6.6912600000000015,306.06326,67.055,14.165476822849229,10.025999999999993
27.22756958,-109.9782791,Roya Lineal,0.03,2014,2,25,Ciclo 2013-2014,0.037000000000000005,26.095,16.069000000000006,20.5233,6.6912600000000015,306.06326,67.055,14.165476822849229,10.025999999999993
